version,code,name,introduced,cancelled,valid_or_future_export,focus_2025_2026,role_PLA88,offline_file,edison_url,sha256
542-0520/01,542-0520,Chemické procesy,2020/2021,,1,1,,archive/versions/version_542-0520_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=542-0520%2F01&locale=cs,ff62950012277b14059b65c4316e0b6fd2acf44610454f2b52a568f555b1a3be
546-0320/01,546-0320,Kontaminanty životního prostředí,1999/2000,2008/2009,0,0,,archive/versions/version_546-0320_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0320%2F01&locale=cs,52a25f3fd7b69232dc7aa3cb5b52462843792cfe6e2a4cecb2391bd08b273938
546-0320/02,546-0320,Kontaminanty životního prostředí,1999/2000,2008/2009,0,0,,archive/versions/version_546-0320_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0320%2F02&locale=cs,bab715526d30894312bcc95dc2d146489e07a29782628d2e99e3a88033ba8887
546-0320/04,546-0320,Kontaminanty životního prostředí,2008/2009,2008/2009,0,0,,archive/versions/version_546-0320_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0320%2F04&locale=cs,9c5d7267a16428ad9f20326d90601dac045060ed93f611dcd21ceb7df4d09e05
546-0371/01,546-0371,Biochemie,2006/2007,2017/2018,0,0,,archive/versions/version_546-0371_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0371%2F01&locale=cs,9b5a75dfa0bc9e5effdf222ef0e6ca49ecaac2e9f291a7b031e256af7014c441
546-0371/02,546-0371,Biochemie,2015/2016,2019/2020,0,0,,archive/versions/version_546-0371_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0371%2F02&locale=cs,a7999725961e15981875c5e2defb6a3d1f5721a44b32da842064251de79d7333
546-0456/02,546-0456,Biotechnologie plastů,2006/2007,2014/2015,0,0,,archive/versions/version_546-0456_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0456%2F02&locale=cs,a34dbab405234ba7533ecb21d111255f7c8969ca92d1f0061844ed270c957565
546-0462/01,546-0462,Polutanty v ŽP,2006/2007,2014/2015,0,0,,archive/versions/version_546-0462_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0462%2F01&locale=cs,b8ef277ceae7a6b4de774db519316842ccbc9439762a893d57cc635238bb7187
546-0462/02,546-0462,Polutanty v ŽP,2015/2016,2019/2020,0,0,,archive/versions/version_546-0462_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0462%2F02&locale=cs,66c96013ec808445394c33c80bbcf5994680c3abb5c59318c4e5efb0bdd85c37
546-0462/03,546-0462,Polutanty v ŽP,2015/2016,2015/2016,0,0,,archive/versions/version_546-0462_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=546-0462%2F03&locale=cs,b43dd503bf56d9a5a9f38fd9a42203bfd9ce5b47ab5aa3309383bb2631972dd6
615-0401/01,615-0401,Oborový seminář,2004/2005,2013/2014,0,0,,archive/versions/version_615-0401_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0401%2F01&locale=cs,201928c05f207c22939cce0c5c49fc0e016f45d52573b4a05b48b53a9bfd2948
615-0807/02,615-0807,Diplomové praktikum,2005/2006,2007/2008,0,0,,archive/versions/version_615-0807_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F02&locale=cs,fb879056b30f55935974b2ecd0e8568befa0735188d70439914612e49e32900b
615-0807/03,615-0807,Diplomové praktikum,2008/2009,2009/2010,0,0,,archive/versions/version_615-0807_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F03&locale=cs,e4cd77bb99e4891dea63ce4edf96c8c9135d7fb2e317cf7694c96ba4a374e1a4
615-0807/04,615-0807,Diplomové praktikum,2008/2009,2013/2014,0,0,,archive/versions/version_615-0807_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F04&locale=cs,fe9093e2738af74ca92d983e5d1bd85e6e0770df98c6d531e8d5c8f63952a805
615-0807/05,615-0807,Diplomové praktikum,2008/2009,2008/2009,0,0,,archive/versions/version_615-0807_05.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0807%2F05&locale=cs,e03ee0089260de763e84245a0cf6106a441af2e5c3a62e5815504f77152b7648
615-0810/01,615-0810,Předdiplomní praxe-seminář,2004/2005,2013/2014,0,0,,archive/versions/version_615-0810_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0810%2F01&locale=cs,d66c958728d09ce134c2da0ab8c28e07c5c09196167de2ec843fb9f054bced1d
615-0815/01,615-0815,Diplomové praktikum,2007/2008,2013/2014,0,0,,archive/versions/version_615-0815_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=615-0815%2F01&locale=cs,20f1ed0e1b3ae42eb65311fc84f9af888eb36a723ac7ca587a7a98211b1ebfe2
