kind,code,version,url,file,size,sha256,pla88
subject,542-0520,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=542-0520&locale=cs,archive/subjects/subject_542-0520.html,51332,a173660a0e920ae6ee72455dce49babd76910e323178119458a62fb0ec5e0a07,False
subject,546-0320,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=546-0320&locale=cs,archive/subjects/subject_546-0320.html,52298,452dff31b0af4936dc10f7f2e2e718e08de17ca6dd04ac3eb081e8be8d5aef6e,False
subject,546-0371,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=546-0371&locale=cs,archive/subjects/subject_546-0371.html,50694,281b4d9795618221c64dc01c78d1fc8aa8d57d803ec19dbf34ddc656c956a17a,False
subject,546-0456,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=546-0456&locale=cs,archive/subjects/subject_546-0456.html,50164,d77d5dad3b1776f594842f75455be45055e3bad4a95049477d5ad2a96bc21b24,False
subject,546-0462,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=546-0462&locale=cs,archive/subjects/subject_546-0462.html,53285,e78e6d556b16832d20332659eafe23369dc9ad941e80aaec0eb515d2bf011028,False
subject,615-0401,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=615-0401&locale=cs,archive/subjects/subject_615-0401.html,49881,8d0d6c6d3bb4cee9ec3c2de27e56674d079dea596b35540bf9894eb1cfec4faf,False
subject,615-0807,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=615-0807&locale=cs,archive/subjects/subject_615-0807.html,51811,8f1eff5849b9b700290fc3f943eee53da9c943f3f572115d46635cf4a8c9f57a,False
subject,615-0810,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=615-0810&locale=cs,archive/subjects/subject_615-0810.html,49810,01edae20634ab3319c74d25060bf998b84fdb6e46678da7d5ab9408d29281f45,False
subject,615-0815,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=615-0815&locale=cs,archive/subjects/subject_615-0815.html,49811,daf9408abb08b983b0a1eb88459906c86295e164d06b547e0298919a037db5a6,False
subject,617-1401,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=617-1401&locale=cs,archive/subjects/subject_617-1401.html,49845,a44156da859a7e5eba41abeb6633962ff1a430d0bbd076bc30f84c4652cbb7d9,False
subject,617-1807,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=617-1807&locale=cs,archive/subjects/subject_617-1807.html,49774,4153a81be515acccecc47ddca22fbcca0a0626860bc99e479791e37519932072,False
subject,617-1810,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=617-1810&locale=cs,archive/subjects/subject_617-1810.html,49771,b5308d159a74ffbbab3bd6e1b83b8fc372a5bc64e1ac13d740b22964df1fd2fa,False
subject,617-1815,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=617-1815&locale=cs,archive/subjects/subject_617-1815.html,49772,4fc7574942484a9c1f3d06fc37ded5ab4cf60e059fb638037ded827a2f1d2b07,False
subject,730-0004,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0004&locale=cs,archive/subjects/subject_730-0004.html,49086,66551d7d8e3d7d51ebb2afdb0ac3600976664eeb4e0dd81c9b19e9f3e5053af7,False
subject,730-0005,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0005&locale=cs,archive/subjects/subject_730-0005.html,51893,5c1bf0b58ea384ba412f5c0d999a0fd008caf23cd3724b0eae63150707073200,False
subject,730-0014,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0014&locale=cs,archive/subjects/subject_730-0014.html,50493,e8d5e40b8f85a539e80c971bf13a96058017a517f961eef892b56162384ec8f4,False
subject,730-0015,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0015&locale=cs,archive/subjects/subject_730-0015.html,51100,44ee6c3fd83e7485c32bb58b89aadbef5794e8c98f99655fb1aa214a9ce7a663,False
subject,730-0102,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0102&locale=cs,archive/subjects/subject_730-0102.html,50720,7f159b0bb5b054a8bb6c96e1c0d51e3c77d5ec28ac5b41fbcac52b472638f3e5,False
subject,730-0106,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0106&locale=cs,archive/subjects/subject_730-0106.html,50004,20406b115e18f3b350dad2079f1475511ec3892ad377911ca46eb60af9784894,False
subject,730-0120,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0120&locale=cs,archive/subjects/subject_730-0120.html,50604,1b32284efe5b281ee7b74eb5227bcd0013ec1529ce4748f0c5a337d9c245f218,False
subject,730-0121,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0121&locale=cs,archive/subjects/subject_730-0121.html,49966,d18040558e39d10f435a2407bf665ac953f55abd725c6c136368468c105db5b1,False
subject,730-0125,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0125&locale=cs,archive/subjects/subject_730-0125.html,51771,7b3664e6f69d7d3b0504c6bb1c91f1601a1b6768c2e368bb5bc221ab9ef8f175,False
subject,730-0135,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0135&locale=cs,archive/subjects/subject_730-0135.html,49950,ea134b0154d376d83674e60c820e78b91852e8e34443ee382e084de42485abb1,False
subject,730-0136,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0136&locale=cs,archive/subjects/subject_730-0136.html,49309,dcac58055d8eef096dbecc6d5e1c8ec21826df9edec143425ad955483ed38d56,False
subject,730-0146,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0146&locale=cs,archive/subjects/subject_730-0146.html,49190,57ad1de5fd46ea40363d2b1cd9bfe4e0704a310298019b1283926bd9bd450b4a,False
subject,730-0153,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0153&locale=cs,archive/subjects/subject_730-0153.html,49255,ea21fd5f534641a283bdf32fb98194300f877766148e336b2c04a34f1d681635,False
subject,730-0154,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=730-0154&locale=cs,archive/subjects/subject_730-0154.html,49261,77c8a56423e7c576fb623180f1bfbaa6d67ade1757e6506e2084aa6e258a78c3,False
subject,9350-3021,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9350-3021&locale=cs,archive/subjects/subject_9350-3021.html,52092,48d289035859cfa78d35cacdc3c0cdd49cb9e54af09f89e17fc2cd945180da74,False
subject,9360-0002,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0002&locale=cs,archive/subjects/subject_9360-0002.html,51453,bd824a6208c7cd92194ef6ff5c60bfebf984782ea6a3feda171e9235df86f558,False
subject,9360-0003,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0003&locale=cs,archive/subjects/subject_9360-0003.html,50095,d24a1146f2441ab788ebd010405b6e58f7664bf12fabc9b46ce1dae3e48f6968,False
subject,9360-0004,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0004&locale=cs,archive/subjects/subject_9360-0004.html,50148,2d6d7959e77e57d32501d2a149ecdf290aed9cb563b0b082221b3d53315e6cbf,False
subject,9360-0005,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0005&locale=cs,archive/subjects/subject_9360-0005.html,51578,af56286a29119a6c16dae1c7093515fb2a4b9a0d135c83d9e0da13ecc0cb346f,False
subject,9360-0014,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0014&locale=cs,archive/subjects/subject_9360-0014.html,51085,a5f52068c4d55679e406250eb789d10e6dba9b00b48c1bb5d3fe91c0f00c290e,False
subject,9360-0015,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0015&locale=cs,archive/subjects/subject_9360-0015.html,51405,49431479fa7e05b1fa12d1b8eff4d87f86da375299ba217aa874078d83bff029,False
subject,9360-0106,,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/Subject.faces?subject=9360-0106&locale=cs,archive/subjects/subject_9360-0106.html,52388,b9a285ebbec24bc14b98e0d222f519c4cbf102ba9afd7479e2af3a1a3f8d97d4,False
